t=2026-01-08T17:49:31+0200 lvl=info msg="no configuration paths supplied"
t=2026-01-08T17:49:31+0200 lvl=info msg="using configuration at default config path" path="/Users/a/Library/Application Support/ngrok/ngrok.yml"
t=2026-01-08T17:49:31+0200 lvl=info msg="open config file" path="/Users/a/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-01-08T17:49:31+0200 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-01-08T17:49:32+0200 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-08T17:49:36+0200 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-08T17:49:36+0200 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-08T17:49:37+0200 lvl=warn msg="failed to check for update" obj=updater err="Post \"https://update.equinox.io/check\": context deadline exceeded"
t=2026-01-08T17:49:37+0200 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://muddly-feelingful-samatha.ngrok-free.dev
t=2026-01-08T17:49:38+0200 lvl=info msg=start pg=/api/tunnels id=9717113442e17417
t=2026-01-08T17:49:38+0200 lvl=info msg=end pg=/api/tunnels id=9717113442e17417 status=200 dur=4.864773ms
t=2026-01-08T17:53:22+0200 lvl=warn msg="failed to open private leg" id=42f9cbf166eb privaddr=localhost:3000 err="dial tcp [::1]:3000: connect: connection refused"
t=2026-01-08T17:53:39+0200 lvl=warn msg="failed to open private leg" id=c6591b803fa3 privaddr=localhost:3000 err="dial tcp [::1]:3000: connect: connection refused"
t=2026-01-08T17:53:41+0200 lvl=warn msg="failed to open private leg" id=3578bbf026e5 privaddr=localhost:3000 err="dial tcp [::1]:3000: connect: connection refused"
t=2026-01-08T17:53:41+0200 lvl=warn msg="failed to open private leg" id=58df3c4fa8ad privaddr=localhost:3000 err="dial tcp [::1]:3000: connect: connection refused"
t=2026-01-08T17:54:15+0200 lvl=warn msg="failed to open private leg" id=05dce555019b privaddr=localhost:3000 err="dial tcp [::1]:3000: connect: connection refused"
t=2026-01-08T17:55:23+0200 lvl=info msg=start pg=/api/tunnels id=0665fdcac5cf9df1
t=2026-01-08T17:55:23+0200 lvl=info msg=end pg=/api/tunnels id=0665fdcac5cf9df1 status=200 dur=3.96301ms
t=2026-01-08T17:56:01+0200 lvl=info msg="join connections" obj=join id=6714d4d3d427 l=127.0.0.1:3000 r=41.216.86.42:30058
t=2026-01-08T17:56:04+0200 lvl=info msg="join connections" obj=join id=c779b383dc59 l=127.0.0.1:3000 r=41.216.86.42:30058
t=2026-01-08T17:56:06+0200 lvl=info msg="join connections" obj=join id=1a7a237111b0 l=127.0.0.1:3000 r=41.216.86.42:30058
t=2026-01-08T17:56:06+0200 lvl=info msg="join connections" obj=join id=20ae683d9455 l=127.0.0.1:3000 r=41.216.86.42:30058
